Close,High,Low,Open,Volume,return,bh_cumret,ema10,ema50,signal,strategy_ret,strategy_cumret,Ticker,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,MSFT,MSFT,MSFT,MSFT,MSFT,NVDA,NVDA,NVDA,NVDA,NVDA,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
123.33063507080078,129.07955079083166,122.44314998227297,128.46817802573926,112117500.0,0.0,0.0,123.33063507080078,123.33063507080078,0,,,AAPL,,,,,,,,,,,,,,,,,,,,
124.60271453857422,126.87073149260826,123.3405166774151,125.12534263515172,89113600.0,0.010314383502875613,0.010314383502875613,124.03027877807618,123.97939559936523,1,0.0,0.0,AAPL,,,,,,,,,,,,,,,,,,,,
123.28133392333984,125.99308946159266,123.02495518012978,125.36199059273537,80962700.0,-0.010604749825296134,-0.0003997477790707027,123.72920792284995,123.73734008418832,-1,-0.010604749825296134,-0.010604749825296134,AAPL,,,,,,,,,,,,,,,,,,,,
127.8173599243164,128.4780403774463,123.15314460938177,124.257571392045,87754700.0,0.03679410221013013,0.03637964607041799,125.07607186194694,124.81934470596528,1,-0.03679410221013013,-0.04700865978644142,AAPL,,,,,,,,,,,,,,,,,,,,
128.33999633789062,131.55466910779157,128.08361757784448,128.6555533163335,70790800.0,0.004088931377425498,0.040617331324160455,126.01305580838508,125.58090874047812,1,0.004088931377425498,-0.04311194359302739,AAPL,,,,,,,,,,,,,,,,,,,,
128.9119110107422,129.43453900512318,126.33820813140562,128.44844617850507,63896200.0,0.00445624660410493,0.045254578773046505,126.76598863616758,126.19304174220358,1,0.00445624660410493,-0.03884781444115526,AAPL,,,,,,,,,,,,,,,,,,,,
131.63356018066406,131.65327120715185,128.64569958998982,129.42470644063985,69458900.0,0.02111247245178971,0.06732248727249956,127.93887784333977,127.06656675954133,1,0.02111247245178971,-0.018555515401566636,AAPL,,,,,,,,,,,,,,,,,,,,
131.5546875,132.39285762882386,129.6120828388038,132.01815247276784,71379600.0,-0.0005991836774437154,0.06668296505955729,128.76149196580243,127.70919667215493,1,-0.0005991836774437154,-0.019143580917055147,AAPL,,,,,,,,,,,,,,,,,,,,
132.88587951660156,133.04365799858422,129.82900042275443,130.19384999657817,57809700.0,0.010118925002969403,0.07747664998493997,129.6588143669368,128.38061177575636,1,0.010118925002969403,-0.009218368373673735,AAPL,,,,,,,,,,,,,,,,,,,,
134.04945373535156,135.38066994863155,132.26462822678656,132.95489015736672,63646600.0,0.008756191575679306,0.08691124195052935,130.58109523452356,129.05485179447356,1,0.008756191575679306,-0.0005428945974894628,AAPL,,,,,,,,,,,,,,,,,,,,
133.32960510253906,136.68231437744225,133.15210058630623,134.91721500516473,69672800.0,-0.005370022874048197,0.08107450371919489,131.14258143884882,129.52574151174016,1,-0.005370022874048197,-0.00591000211513093,AAPL,,,,,,,,,,,,,,,,,,,,
133.3887939453125,134.35516079708475,131.90965456039046,132.21534095915428,58280400.0,0.0004439287338164899,0.08155442375479227,131.59137058661514,129.92309175789495,1,0.0004439287338164899,-0.005468697001070222,AAPL,,,,,,,,,,,,,,,,,,,,
135.95262145996094,136.1005444209002,132.35338844252215,133.3986444948596,80223600.0,0.01922071141672954,0.10234266921527024,132.44735002904974,130.50617458572185,1,0.01922071141672954,0.013646902168776176,AAPL,,,,,,,,,,,,,,,,,,,,
139.14756774902344,141.32683964763805,135.9822029643826,136.19914460303502,81760300.0,0.023500439011420182,0.1282482058828498,133.7436636251511,131.29640689764764,1,0.023500439011420182,0.03746804937230852,AAPL,,,,,,,,,,,,,,,,,,,,
140.54782104492188,141.16906439218428,138.34883807200805,138.35869358432294,66435100.0,0.010063081364268145,0.1396018593777384,135.04492041145866,132.1004286239049,1,0.010063081364268145,0.047908174765970646,AAPL,,,,,,,,,,,,,,,,,,,,
139.88714599609375,140.44921115138996,136.87955949987148,138.93063463423644,65799300.0,-0.004700713564367298,0.13424491745938316,135.9623211929918,132.74635099048382,1,-0.004700713564367298,0.04298225859463689,AAPL,,,,,,,,,,,,,,,,,,,,
141.9579620361328,142.2439224000094,139.92659771489312,141.178940100887,54105100.0,0.014803476225734746,0.15103568512915366,137.08963327619512,133.47845162818885,1,0.014803476225734746,0.05842202166360577,AAPL,,,,,,,,,,,,,,,,,,,,
143.90054321289062,145.18246711281154,141.09018721144076,141.16907645645273,70555800.0,0.013684200230088983,0.16678668791643858,138.36233827732374,134.2746991797503,1,0.013684200230088983,0.07290568053598623,AAPL,,,,,,,,,,,,,,,,,,,,
141.01129150390625,143.5258315295515,140.863383580403,142.94404030165967,64015300.0,-0.02007811537382409,0.14335981017981014,138.8548443674433,134.77092294610722,1,-0.02007811537382409,0.05136375649695335,AAPL,,,,,,,,,,,,,,,,,,,,
142.28334045410156,142.3326481092963,140.301299106578,140.71545632636276,65874500.0,0.009020901352145172,0.15367394623744968,139.4896797807854,135.30586839462828,1,0.009020901352145172,0.06084800522953304,AAPL,,,,,,,,,,,,,,,,,,,,
143.40748596191406,144.57108343034756,139.35465851027638,141.96779872652098,77663600.0,0.00790075285149161,0.16278883895787688,140.2126986258864,135.86488535975724,1,0.00790075285149161,0.0692295031318495,AAPL,,,,,,,,,,,,,,,,,,,,
